date,time,post_url,text,format,topic,impressions,likes,comments,reposts,clicks
2026-05-12,,,"ISO 14001:2026 : et si l'environnement sortait des murs de l'entreprise ? La nouvelle ISO 14001 envoie un message clair : le management environnemental ne peut plus se limiter aux flux internes du site. Il doit s'ouvrir aux enjeux emergents et aux limites planetaires. Pollution, ressources, biodiversite, sante des ecosystemes. Post pedagogique long sur les 5 familles d'enjeux environnementaux emergents : pollution, disponibilite des ressources naturelles, epuisement des ressources naturelles, biodiversite et sante des ecosystemes. CTA final vers une future formation d'auditeur.",texte,long-form ISO 14001 environnement RSE,104,6,0,0,58
2026-05-08,,,"Cette semaine, l'AFNOR Competences m'a confie une formation technique. Je pensais transmettre des outils. J'en suis ressorti avec une lecon. Post storytelling long autour d'une formation Core Tools IATF 16949 animee pour AFNOR Competences, avec une lecon sur la participation, le silence en entreprise, le leadership, la pedagogie et l'espace laisse a l'autre. Remerciements aux participants et a AFNOR Competences.",image,AFNOR formation leadership coaching pedagogie,462,13,0,1,42
2026-05-02,,,"Le sport fait aussi partie de notre maniere de travailler. En cette journee mondiale de la sante et de la securite au travail, rappel sur le sport, l'equilibre, la performance durable, le coaching et le consulting. Post court/moyen sur la progression durable, les limites, la regularite et l'equilibre entre performance et bien-etre.",texte,sante au travail sport equilibre performance durable,1017,12,0,0,66
,,,"5 rendez-vous offerts. Oui, vous avez bien lu. Post long d'offre directe autour de la clarte dans les prises de parole, oraux, presentations commerciales B2B et rendez-vous strategiques. Exemple d'accompagnement d'une etudiante par Laurent Rousseau, puis proposition de 5 rendez-vous gratuits de 30 minutes pour identifier ce qui freine et faire ressortir ce qui differencie.",texte,offre coaching clarte prise de parole sales,191,6,0,0,13
2026-04-20,,,"Nous sommes deux auditeurs ISO 27001 chez Acteo Management. Laurent Rousseau vient d'obtenir lui aussi le diplome d'auditeur ISO 27001. Post d'annonce de certification autour de la securite de l'information, cyberattaques, gestion des donnees, confiance, continuite, gouvernance, risques, processus et culture de protection.",texte,ISO 27001 cybersecurite audit certification,557,13,0,0,44
,,,"En me promenant dans les parcs de San Antonio, je me suis fait une reflexion. Post long environnemental et conceptuel sur l'approche ecosystemique, la biodiversite, les dependances aux ecosystemes, les liens entre climat, eau, biodiversite, risques operationnels et financiers, et la necessite d'une vision systemique.",image,environnement biodiversite vision systemique RSE,156,6,0,0,6
2026-04-11,,,"Tres heureux de voir Delphine Bessot mentionnee dans un article de L'Usine Nouvelle : Certification ISO 45001, l'interet d'un audit a blanc avant le grand saut. Post de preuve sociale avec photo de Delphine devant l'article, autour de l'audit a blanc, ISO 45001, sante securite au travail, AFNOR BAO, anticipation, clarification et maturite.",image,ISO 45001 audit a blanc presse preuve sociale,2548,70,6,3,122
,,,"Parler en public peut changer une trajectoire. Post storytelling long sur l'accompagnement d'Ines, leader internationale dans le luxe, pour preparer une prise de parole. Trajectoire avant/apres : peur de la scene, repetitions, visualisation, transformation, accession au board et visibilite professionnelle. CTA final sur etre vue.",carousel,prise de parole coaching leadership luxe conference,187,11,0,1,53
2026-03-31,,,"Quand on prend de la hauteur, on ne voit pas moins de choses. On voit mieux. Post medium/long sur la valeur du regard exterieur en audit et coaching, le recul face a l'operationnel, les zones invisibles, les priorites, tensions et decisions repoussees. Metaphore de la hauteur et de la simplification.",image,audit coaching regard exterieur leadership,249,10,0,0,30
2026-03-23,,,"J'ai quitte l'industrie automobile pour accompagner des equipes B2B. Voici ce que j'ai decouvert. Post storytelling long sur les standards, le process commercial, les silos marketing/SDR/demo/ventes, les angles morts dans le parcours client, la demotivation et la valeur d'un process clair pour la performance commerciale durable.",image,vente B2B process commercial organisation,114,6,0,1,4
2026-03-16,,,"Changer de climat, sans changer d'exigence. Post sur Delphine Bessot auditant sous la neige a Toronto puis en Cote d'Ivoire, autour de l'adaptabilite, des contextes locaux, de l'ecoute, du cadre solide et de la performance durable dans des environnements differents.",image,audit international adaptabilite terrain leadership,190,9,1,0,14
2026-03-13,,,"Ce n'est pas une crise, c'est une dependance. Post long leadership/sales management sur les organisations qui fonctionnent encore autour d'une personne centrale, les decisions qui remontent, l'equipe qui attend un feu vert, les deals strategiques portes par le dirigeant, et la construction d'une organisation moins dependante d'un seul leader.",image,leadership sales management dependance organisation,404,10,2,2,26
2026-03-10,,,"Jamais deux sans trois. 100, puis 200, et aujourd'hui 300 personnes nous suivent. Post court de celebration communautaire autour des 300 abonnes, gratitude, esprit de la page, leadership, management et performance durable. Question finale sur les sujets a explorer.",image,communaute milestone leadership management,1603,49,1,2,75
2026-03-08,,,"A l'occasion de la Journee internationale des droits des femmes, Acteo Management met a l'honneur des femmes managers, dirigeantes, entrepreneures ou journalistes accompagnees ou cotoyees en mission. Post de reconnaissance, leadership feminin, entrepreneuriat, femmes dirigeantes, avec mentions de plusieurs personnes.",collage,journee femmes leadership feminin reconnaissance,488,13,1,0,38
2026-03-02,,,"L'extinctrice universelle : le titre que personne ne veut vraiment porter. Post storytelling de coaching sur une leader qui absorbait les crises et les problemes des autres, diagnostic energetique, valeur intrinseque, repositionnement et direction a 3 ans. CTA direct : 2 places pour un accompagnement ce mois-ci.",image,coaching leadership surcharge offre directe,100,6,0,0,2
2026-02-23,,,"J'ai passe la semaine derniere au Canada, entre Montreal et Toronto. Post autour de la bienveillance comme pilier culturel observe au Canada, avec trois piliers : empathie, compassion, respect. Benefices pour l'equipe : confiance, cooperation, engagement, reduction du stress, fidelisation, leadership inspirant.",image,bienveillance leadership culture entreprise Canada,659,22,1,0,32
2026-02-20,,,"On applaudit le Sales. Mais qui a vraiment signe ce deal ? Post sales B2B sur le closing comme resultat collectif : marketing, SDR, demo, consulting/avant-vente, customer success. Le coaching commercial comme creation d'un systeme, d'une dynamique et d'une confiance partagee.",image,Sales B2B teamwork revenue operations,190,8,0,1,10
2026-02-15,,,"Ce que la vente B2B SaaS fait a l'interieur, et dont personne ne parle. Post long sur la charge emotionnelle de la vente complexe : deals portes pendant des mois, pression des objectifs, usure mentale, coaching/sparring partner pour retrouver lucidite, securiser le deal, s'entrainer et dissocier valeur personnelle du resultat.",image,Sales B2B SaaS coaching commercial emotionnel,153,8,0,1,3
2026-02-04,,,"Quelle richesse d'echanges lors des Journees de la Responsabilite Societale. Post evenementiel sur la participation de Delphine aux 3e Journees de la Responsabilite Societale de la Federation Francaise de Basketball, RSE/RSO, sport responsable, co-construction, impact social, gouvernance et intervention de Delphine.",image,RSE sport responsable evenement conference FFBB,426,17,3,0,41
2026-01-26,,,"Quelle maniere de commencer 2026 ! Annonce de la certification d'auditeur ISO 27001 obtenue par Delphine Bessot. Post technique/autorite sur cyberattaques, fuites de donnees, ransomwares, securite de l'information, systemes de management, risques, gouvernance et capacite d'accompagnement.",image,ISO 27001 cybersecurite certification Delphine,1713,55,24,0,122
