post_id,image_type,people_visible,visual_notes
1,carousel,no,"Carrousel sobre ISO 14001."
2,meeting_screenshot,yes,"Captura de Google Meet de la formacion."
3,training_photo,yes,"Entrenamiento de Laurent y Delphine en gimnasio."
4,portrait_context,yes,"Laurent frente a un grafiti con alas de mariposa."
5,portrait_landscape,yes,"Laurent de brazos cruzados frente a un paisaje, posando."
6,context_photo,yes,"Delphine leyendo un panel de un paisaje."
7,work_photo,yes,"Delphine sonriendo mientras trabaja; articulo visible en el ordenador."
8,conference_carousel,yes,"Tres fotos de Laurent dando conferencias con publico."
9,metaphor_photo,yes,"Delphine en un globo aerostatico; imagen alineada con la idea de prendre de la hauteur."
10,context_photo,yes,"Laurent frente a un camion con coches encima; referencia visual a la industria automovil."
11,field_photo,yes,"Fotos de Delphine auditando en Canada bajo la nieve."
12,canva_quote,no,"Diseno de Canva con la frase principal del post."
13,team_photo,yes,"Foto de Laurent y Delphine en un paisaje, sonriendo."
14,people_collage,yes,"Collage con fotos de Delphine con mujeres managers, dirigentes, emprendedoras o periodistas."
15,staged_photo,yes,"Foto de Laurent simulando una llamada."
16,travel_landmark,yes,"Foto de Delphine en las cataratas durante el viaje a Canada."
17,ai_image,yes,"Imagen generada con IA de Laurent en una reunion."
18,selfie,yes,"Selfie de Laurent."
19,conference_photo,yes,"Foto de Delphine dando una conferencia."
20,portrait_landscape,yes,"Foto de Delphine en la playa."
